Date,Account Type,Spent,Firm,Account Type,Home/Work,Strategy used,Instruments,Live?,Account #,Payout 1,Payout 2,Payout 3,Payout 4,Payout 5,Payout 6,Payout 7 ,Payout 8,Payout 9 ,Payout 10 ,Total Payouts,% Gain,,,,,,,,,\
2/21/2025,20K,$88.00,Maven,2 Phase,Work,7,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
3/3/2025,50K,$224.40,Maven ,2 Phase,Home,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
3/4/2025,20K,$88.00,Maven ,2 Phase,Home,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
3/4/2025,20K,$88.00,Maven,2 Phase ,Home,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
3/26/2025,20K,$88.00,Maven,2 Phase,Home,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
3/26/2025,20K,$88.00,Maven,2 Phase,Home,1,"NAS,XAUUSD",Yes,742637,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
4/18/2025,20K,$88.00,Maven,2 Phase,Work,1,NAS,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
4/29/2025,50K,$317.69,Think Capital,2 Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
4/30/2025,50K,$16.50,Elite Trader Funding,1 Phase,Home,1,NAS,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
4/30/2025,50K,$16.50,Elite Trader Funding,1 Phase,Home,1,NAS,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
4/30/2025,50K,$16.50,Elite Trader Funding,1 Phase,Home,1,NAS,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
5/2/2025,50K,$336.37,Think Capital,2 Phase,Home,1,"NAS,XAUUSD",Yes,50154860,"$2,037.06","$3,417.32",$965.17,,,,,,,,"$6,419.55",1808%,,,,,,,,,
5/21/2025,100K,$591.72,8Markets,2 Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
5/30/2025,100K,$471.74,Think Capital,2  Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
5/30/2025,200K,$987.96,8Markets,2 Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
7/2/2025,200K,$516.81,Think Capital,3 Phase ,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
7/10/2025,200K,$602.37,8Markets ,3 Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
7/23/2025,50K,$188.00,8Markets,3 Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
8/4/2025,50K,$169.20,8Markets,3 Phase,Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
9/1/2025,50K,$208.00,8Markets,3 Phase, Home/Work,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
9/28/2025,50K,$208.00,8Markets,3 Phase, Home/Work,1,"NAS,XAUUSD",,,,,,,,,,,,,$0.00,-100%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,$0.00,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Spent,"$6,857.76",,,,,,,,,,,,,,,,,Total Payouts,"$6,419.55",-6.39%,,,,,,,,,
,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
